Date,Temp_A,Temp_B
2019-06-25 21:59:36,4.947,1.886
2019-06-25 21:59:42,4.947,1.724
2019-06-25 21:59:48,4.947,1.724
2019-06-25 21:59:54,4.947,1.724
2019-06-25 22:00:00,4.947,1.724
2019-06-25 22:00:06,4.947,1.724
2019-06-25 22:00:13,4.947,1.724
2019-06-25 22:00:19,4.947,1.724
2019-06-25 22:00:25,4.786,1.724
2019-06-25 22:00:31,4.947,1.724
2019-06-25 22:00:37,4.947,1.724
2019-06-25 22:00:43,4.947,1.724
2019-06-25 22:00:49,4.947,1.724
2019-06-25 22:00:55,4.947,1.724
2019-06-25 22:01:01,4.786,1.724
2019-06-25 22:01:07,4.786,1.724
2019-06-25 22:01:13,4.947,1.724
2019-06-25 22:01:19,4.947,1.724
2019-06-25 22:01:25,4.947,1.724
2019-06-25 22:01:31,4.947,1.886
2019-06-25 22:01:37,4.786,1.724
2019-06-25 22:01:44,4.947,1.724
2019-06-25 22:01:50,4.947,1.724
2019-06-25 22:01:56,4.947,1.724
2019-06-25 22:02:02,4.786,1.563
2019-06-25 22:02:08,4.786,1.724
2019-06-25 22:02:14,4.947,1.724
2019-06-25 22:02:20,4.786,1.724
2019-06-25 22:02:26,4.786,1.724
2019-06-25 22:02:32,4.786,1.563
2019-06-25 22:02:38,4.786,1.563
2019-06-25 22:02:44,4.786,1.563
2019-06-25 22:02:50,4.786,1.724
2019-06-25 22:02:56,4.786,1.724
2019-06-25 22:03:02,4.786,1.563
2019-06-25 22:03:09,4.786,1.563
2019-06-25 22:03:15,4.786,1.563
2019-06-25 22:03:21,4.786,1.563
2019-06-25 22:03:27,4.625,1.563
2019-06-25 22:03:33,4.786,1.563
2019-06-25 22:03:39,4.786,1.563
2019-06-25 22:03:45,4.786,1.563
2019-06-25 22:03:51,4.625,1.563
2019-06-25 22:03:57,4.625,1.563
2019-06-25 22:04:03,4.625,1.402
2019-06-25 22:04:09,4.625,2.047
2019-06-25 22:04:15,4.625,1.563
2019-06-25 22:04:21,4.625,2.208
2019-06-25 22:04:27,4.625,1.402
2019-06-25 22:04:34,4.625,1.563
2019-06-25 22:04:40,4.625,2.047
2019-06-25 22:04:46,4.625,2.047
2019-06-25 22:04:52,4.625,1.402
2019-06-25 22:04:58,4.625,2.047
2019-06-25 22:05:04,4.625,1.402
